model,accuracy,log_loss,brier_score
XGBoost (baseline),0.5971879625061668,0.8737445316953835,0.17113606213077412
Random Forest (baseline),0.5731376418352244,0.9075402514607463,0.1787397744659195
XGBoost (tuned),0.6006413418845584,0.8711464204739596,0.17060183867446613
Random Forest (tuned),0.6005180069067587,0.8742428461526474,0.17125326124400764
Ensemble (tuned),0.6007646768623581,0.8693885193996483,0.170362675887991
